127.0.0.1 - - [13/Aug/2021:18:09:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:09:29 +0900] "GET /21PM_moonbook_final/ HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:09:32 +0900] "GET /spring/ HTTP/1.1" 200 4160
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:09:32 +0900] "GET /spring/resources/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:09:32 +0900] "GET /spring/resources/images/logo-spring.png HTTP/1.1" 200 10513
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:09:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:09:34 +0900] "GET /spring/chatting.do HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:09:35 +0900] "GET /spring/chatting/info?t=1628845775025 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:09:35 +0900] "GET /spring/chatting/446/fkfezy5z/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:09:54 +0900] "GET /spring/ HTTP/1.1" 200 4160
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:09:54 +0900] "GET /spring/resources/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:09:54 +0900] "GET /spring/resources/images/logo-spring.png HTTP/1.1" 200 10513
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:09:55 +0900] "GET /spring/chatting.do HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:09:56 +0900] "GET /spring/chatting/info?t=1628845795997 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:09:56 +0900] "GET /spring/chatting/102/l1dxox42/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:12:09 +0900] "GET /spring/chatting.do HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:12:09 +0900] "GET /spring/chatting/info?t=1628845929522 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:12:09 +0900] "GET /spring/chatting/753/srmti5jd/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:12:10 +0900] "GET /spring/chatting.do HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:12:10 +0900] "GET /spring/chatting/info?t=1628845930118 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:12:10 +0900] "GET /spring/chatting/394/cclxnrit/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:12:51 +0900] "GET /spring/chatting.do HTTP/1.1" 200 891
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:12:51 +0900] "GET /spring/chatting/info?t=1628845971233 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:12:51 +0900] "GET /spring/chatting/744/j5vxwmuv/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:13:06 +0900] "GET /spring/chatting.do HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:13:06 +0900] "GET /spring/chatting/info?t=1628845986766 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:13:06 +0900] "GET /spring/chatting/899/h1le5ufo/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:13:16 +0900] "GET /spring/chatting.do HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:13:30 +0900] "GET /spring/chatting.do HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:13:30 +0900] "GET /spring/chatting/info?t=1628846010277 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:13:30 +0900] "GET /spring/chatting/477/tafqbfih/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:13:44 +0900] "GET /spring/chatting.do HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:13:44 +0900] "GET /spring/chatting/info?t=1628846024575 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:13:44 +0900] "GET /spring/chatting/058/05rlqnqw/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:13:59 +0900] "GET /spring/chatting.do HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:13:59 +0900] "GET /spring/chatting/info?t=1628846039761 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:13:59 +0900] "GET /spring/chatting/050/r2mlkhze/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:14:29 +0900] "GET /spring/chatting.do HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:14:29 +0900] "GET /spring/chatting/info?t=1628846069943 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [13/Aug/2021:18:14:29 +0900] "GET /spring/chatting/706/o5mbyyob/websocket HTTP/1.1" 101 -
